year,end_mounth,subject,factor_1,delta_factor_1,per_mounth_factor_1,factor_2,delta_factor_2,per_mounth_factor_2,factor_3,delta_factor_3,per_mounth_factor_3,factor_4,delta_factor_4,per_mounth_factor_4,factor_5,delta_factor_5,per_mounth_factor_5,factor_6,delta_factor_6,per_mounth_factor_6,factor_7,delta_factor_7,per_mounth_factor_7,factor_8,delta_factor_8,per_mounth_factor_8,factor_9,delta_factor_9,per_mounth_factor_9,factor_10,delta_factor_10,per_mounth_factor_10,factor_11,delta_factor_11,per_mounth_factor_11,factor_12,delta_factor_12,per_mounth_factor_12,factor_13,delta_factor_13,per_mounth_factor_13,factor_14,delta_factor_14,per_mounth_factor_14,factor_15,delta_factor_15,per_mounth_factor_15,factor_16,delta_factor_16,per_mounth_factor_16,factor_17,delta_factor_17,per_mounth_factor_17,factor_18,delta_factor_18,per_mounth_factor_18
2014,12,Республика Коми,1424,134,134,141,11,11,1974,177,177,6.7,0,0,,,,,,,336364,336364,168182,262217,262217,131108.5,29343,29343,14671.5,6112,6112,3056,415763,415763,207881.5,206978,206978,103489,24944,24944,12472,3198,3198,1599,89203,89203,44601.5,23318,23318,11659,3156,3156,1578,115677,115677,57838.5
2014,10,Архангельская обл. (с АО ),1619,1619,161.9,174,174,17.4,2104,2104,210.4,7.6,7.6,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Архангельская обл. (с АО ),1790,171,171,193,19,19,2342,238,238,7.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Архангельская обл. (с АО ),1975,185,185,216,23,23,2569,227,227,7.8,0.20000000000000018,0.20000000000000018,,,,,,,441718,441718,220859,319261,319261,159630.5,53615,53615,26807.5,6474,6474,3237,407075,407075,203537.5,212711,212711,106355.5,16776,16776,8388,4513,4513,2256.5,124838,124838,62419,20937,20937,10468.5,4568,4568,2284,150343,150343,75171.5
2014,10,Архангельская обл. (без а/о),1576,1576,157.6,172,172,17.2,2056,2056,205.6,7.7,7.7,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Архангельская обл. (без а/о),1740,164,164,191,19,19,2281,225,225,7.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Архангельская обл. (без а/о),1918,178,178,213,22,22,2498,217,217,7.9,0.20000000000000018,0.20000000000000018,,,,,,,427805,427805,213902.5,308739,308739,154369.5,51611,51611,25805.5,6262,6262,3131,395957,395957,197978.5,204165,204165,102082.5,16604,16604,8302,4484,4484,2242,114283,114283,57141.5,20765,20765,10382.5,4539,4539,2269.5,139587,139587,69793.5
2014,10,Ненецкий АО,43,43,4.3,2,2,0.2,48,48,4.8,4,4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Ненецкий АО,50,7,7,2,0,0,61,13,13,3.2,-0.7999999999999998,-0.7999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Ненецкий АО,57,7,7,3,1,1,71,10,10,4.1,0.8999999999999995,0.8999999999999995,,,,,,,13913,13913,6956.5,10522,10522,5261,2004,2004,1002,212,212,106,11118,11118,5559,8546,8546,4273,172,172,86,29,29,14.5,10555,10555,5277.5,172,172,86,29,29,14.5,10756,10756,5378
2014,10,Вологодская область,1393,1393,139.3,149,149,14.9,1770,1770,177,7.8,7.8,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Вологодская область,1548,155,155,168,19,19,1959,189,189,7.9,0.10000000000000053,0.10000000000000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Вологодская область,1725,177,177,187,19,19,2185,226,226,7.9,0,0,,,,,,,504860,504860,252430,378652,378652,189326,54377,54377,27188.5,5320,5320,2660,723631,723631,361815.5,292752,292752,146376,50696,50696,25348,4414,4414,2207,278853,278853,139426.5,46539,46539,23269.5,4372,4372,2186,329764,329764,164882
2014,10,Калининградская область,998,998,99.8,129,129,12.9,1151,1151,115.1,10.1,10.1,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,11,Калининградская область,1105,107,107,150,21,21,1260,109,109,10.6,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12,Калининградская область,1240,135,135,164,14,14,1404,144,144,10.5,-0.09999999999999964,-0.09999999999999964,,,,,,,453417,453417,226708.5,332660,332660,166330,81984,81984,40992,4734,4734,2367,440797,440797,220398.5,286915,286915,143457.5,11172,11172,5586,334,334,167,418227,418227,209113.5,11172,11172,5586,334,334,167,429733,429733,214866.5
2014,10,ГУВД г.Санкт-Петерб. и Лен.обл,10128,10128,1012.8,915,915,91.5,12925,12925,1292.5,6.6,6.6,0.6599999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
